Model Year,Make,Model,Car_or_Truck,Vehicle Class,Engine Size(L),Engine Size Rank,Cylinders,Transmission,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),Fuel Consumption(Comb (mpg)),CO2 Emissions(g/km),CO2 Rating,Smog Rating,CarNumber,,
2022,Dodge,Durango AWD SRT,Cars,SUV: Standard,6.4,6,8,A8,4,18.3,12.2,15.6,18,363,2,1,1277,410.28,2.326923077
2022,Jeep,Grand Wagoneer 4X4,Cars,SUV: Standard,6.4,6,8,A8,4,18.6,12.8,16,18,374,2,1,1516,420.8,2.3375
2022,Jeep,Wrangler JL Unlimited 4X4,Cars,SUV: Small,6.4,6,8,A8,4,18.5,14.1,16.5,17,387,2,1,1531,433.95,2.345454545
2022,Cadillac,CT5-V Blackwing,Cars,Mid-size,6.2,6,8,AS10,4,18.1,10.7,14.8,19,346,3,3,1159,389.24,2.337837838
2022,Cadillac,CT5-V Blackwing,Cars,Mid-size,6.2,6,8,M6,4,18.3,11.4,15.2,19,356,3,3,1160,399.76,2.342105263
2022,Cadillac,Escalade 4WD,Cars,SUV: Standard,6.2,6,8,A10,4,16.3,12.7,14.7,19,345,3,6,1162,386.61,2.346938776
2022,Cadillac,Escalade 4WD (No Stop-Start),Cars,SUV: Standard,6.2,6,8,A10,4,17,12.7,15.1,19,353,3,6,1163,397.13,2.337748344
2022,Chevrolet,Camaro SS,Cars,Subcompact,6.2,6,8,AS10,4,14.6,8.9,12,24,281,4,1,1179,315.6,2.341666667
2022,Chevrolet,Camaro SS,Cars,Subcompact,6.2,6,8,M6,4,14.9,9.9,12.6,22,296,4,1,1180,331.38,2.349206349
2022,Chevrolet,Camaro ZL1,Cars,Subcompact,6.2,6,8,AS10,4,18.3,11.2,15.1,19,355,3,1,1181,397.13,2.350993377
2022,Chevrolet,Camaro ZL1,Cars,Subcompact,6.2,6,8,M6,4,17.2,12,14.9,19,349,3,1,1182,391.87,2.342281879
2022,Chevrolet,Corvette,Cars,Two-seater,6.2,6,8,AS8,4,15.1,9.6,12.6,22,297,4,5,1191,331.38,2.357142857
2022,Chevrolet,Silverado 4WD,Trucks,Pickup truck: Standard,6.2,6,8,A10,4,15.7,11.9,14,20,329,3,6,1220,368.2,2.35
2022,Chevrolet,Silverado 4WD (No Stop-Start),Trucks,Pickup truck: Standard,6.2,6,8,A10,4,16.6,12.3,14.7,19,345,3,6,1221,386.61,2.346938776
2022,Chevrolet,Silverado 4WD Custom Trail Boss,Trucks,Pickup truck: Standard,6.2,6,8,A10,4,16.5,13.2,15,19,352,3,6,1222,394.5,2.346666667
2022,Chevrolet,Silverado 4WD Mud Terrain Tire,Trucks,Pickup truck: Standard,6.2,6,8,A10,4,16.5,13.2,15,19,352,3,6,1223,394.5,2.346666667
2022,Chevrolet,Silverado 4WD Mud Terrain Tire (No Stop-Start),Trucks,Pickup truck: Standard,6.2,6,8,A10,4,18.2,14.2,16.4,17,385,2,6,1224,431.32,2.347560976
2022,Chevrolet,Silverado 4WD ZR2,Trucks,Pickup truck: Standard,6.2,6,8,A10,4,16.7,14.1,15.5,18,366,2,6,1225,407.65,2.361290323
2022,Chevrolet,Suburban 4WD,Cars,SUV: Standard,6.2,6,8,A10,4,16.3,12.7,14.7,19,345,3,6,1234,386.61,2.346938776
2022,Chevrolet,Suburban 4WD (No Stop-Start),Cars,SUV: Standard,6.2,6,8,A10,4,17,12.7,15.1,19,353,3,6,1235,397.13,2.337748344
2022,Chevrolet,Tahoe 4WD,Cars,SUV: Standard,6.2,6,8,A10,4,16.3,12.7,14.7,19,345,3,6,1242,386.61,2.346938776
2022,Chevrolet,Tahoe 4WD (No Stop-Start),Cars,SUV: Standard,6.2,6,8,A10,4,17,12.7,15.1,19,353,3,6,1243,397.13,2.337748344
2022,Dodge,Challenger SRT Hellcat,Cars,Mid-size,6.2,6,8,A8,4,17.6,10.7,14.5,19,339,3,1,1265,381.35,2.337931034
2022,Dodge,Challenger SRT Hellcat,Cars,Mid-size,6.2,6,8,M6,4,18.1,11.4,15.1,19,352,3,1,1266,397.13,2.331125828
2022,Dodge,Challenger SRT Hellcat Widebody,Cars,Mid-size,6.2,6,8,A8,4,18.6,11.3,15.3,18,359,2,1,1267,402.39,2.346405229
2022,Dodge,Challenger SRT Hellcat Widebody,Cars,Mid-size,6.2,6,8,M6,4,18.1,11.4,15.1,19,352,3,1,1268,397.13,2.331125828
2022,Dodge,Charger SRT Hellcat Widebody,Cars,Full-size,6.2,6,8,A8,4,19,11.5,15.6,18,368,2,1,1274,410.28,2.358974359
2022,GMC,Sierra 4WD,Trucks,Pickup truck: Standard,6.2,6,8,A10,4,15.7,11.9,14,20,329,3,6,1408,368.2,2.35
2022,GMC,Sierra 4WD (No Stop-Start),Trucks,Pickup truck: Standard,6.2,6,8,A10,4,16.6,12.3,14.7,19,345,3,6,1409,386.61,2.346938776
2022,GMC,Sierra 4WD Mud Terrain Tire,Trucks,Pickup truck: Standard,6.2,6,8,A10,4,16.5,13.2,15,19,352,3,6,1410,394.5,2.346666667
2022,GMC,Sierra 4WD Mud Terrain Tire (No Stop-Start),Trucks,Pickup truck: Standard,6.2,6,8,A10,4,18.2,14.2,16.4,17,385,2,6,1411,431.32,2.347560976
2022,GMC,Yukon 4WD,Cars,SUV: Standard,6.2,6,8,A10,4,16.3,12.7,14.7,19,345,3,6,1420,386.61,2.346938776
